№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Серия;Номер;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания;Тех. секретарь;Unnamed: 27
28874;836ПВ;Трофимович Ульяна Иннокентиeвна;В приказ;Первый;63,8;ФМИТ;очная;Нормативный;4 года 00 мес.;3 (третий) курс;01.03.02;Прикладная математика и информатика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;47679122;62;без отличия;да;;нет;да;нет;16.01.2019 11:07;Петренко Лина Владимировна;
28875;837ПВ;Николаев Иннокентий Трофимович;В приказ;Первый;79,52;ФМИТ;очная;Нормативный;4 года 00 мес.;3 (третий) курс;01.03.01;Математика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;4331;4,69;без отличия;да;;нет;да;нет;16.01.2019 13:55;Петренко Лина Владимировна;
28876;838ПВ;Алексеенко Алексей Дмитриeвич;В приказ;Первый;86,28;Экономфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.05;Педагогическое образование (Профиль: География и экономика);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ТЕ;47414910;4,26;без отличия;да;;нет;да;нет;16.01.2019 14:42;Петренко Лина Владимировна;
28877;839ПВ;Владимировский Иван Андреeвич;В приказ;Первый;81;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.01;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1607229;5;серебряная медаль;да;;нет;да;нет;16.01.2019 15:23;Петренко Лина Владимировна;
28878;840ПВ;Серафимовский Тимофей Кондратович;В приказ;Первый;71,64;Учфин;очная;Нормативный;5 лет 00 мес.;2 (второй) курс;38.05.02;Таможенное дело;Специалитет;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1602198;4,08;без отличия;да;;нет;да;нет;18.01.2019 11:36;Петренко Лина Владимировна;
28879;841ПВ;Кирилленко Людмила Кондратовна;В приказ;Первый;86,56;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;45.03.01;Филология (Профиль: Русский язык и литература);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1606002;4,67;без отличия;нет;;нет;да;нет;18.01.2019 14:04;Петренко Лина Владимировна;
28880;842ПВ;Андреенко Кондрат Глебович;В приказ;Первый;74,72;Истфак;очная;Нормативный;4 года 00 мес.;2 (второй) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1602348;4,09;без отличия;да;;нет;да;нет;18.01.2019 14:58;Петренко Лина Владимировна;
28881;843ПВ;Иванов Владимир Владимирович;В приказ;Первый;29,36;Юрфак;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Диплом специалиста;ХА;33832178;73,4;без отличия;да;;да;да;нет;21.01.2019 10:05;Петренко Лина Владимировна;
28882;844ПВ;Кондратова Виктория Николаeвна;В приказ;Первый;73,44;Экономфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;38.03.03;Управление персоналом;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;С;519101;3,18;без отличия;нет;;нет;да;нет;21.01.2019 10:52;Петренко Лина Владимировна;
28883;845ПВ;Андреевский Владимир Алексеeвич;В приказ;Первый;80,28;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.01;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;213-СС3;245;4,41;без отличия;нет;;нет;да;нет;21.01.2019 11:22;Петренко Лина Владимировна;
28884;846ПВ;Дмитриевский Серафим Степанович;В приказ;Первый;81,48;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1606328;4,56;без отличия;нет;;нет;да;нет;21.01.2019 11:53;Петренко Лина Владимировна;
28885;847ПВ;Алексеевский Тимофей Терентиeвич;В приказ;Первый;82,44;Юрфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1701400;4,68;без отличия;нет;;да;да;нет;21.01.2019 13:39;Петренко Лина Владимировна;
28886;848ПВ;Андреевич Светлана Андреeвна;В приказ;Первый;81;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;2463;4,5;без отличия;да;;нет;да;нет;21.01.2019 14:23;Петренко Лина Владимировна;
28887;849ПВ;Игнатенко Глеб Петрович;В приказ;Первый;73,3;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;46377433;81,6;без отличия;да;;нет;да;нет;21.01.2019 14:51;Петренко Лина Владимировна;
28888;850ПВ;Иванович Кондрат Андреeвич;В приказ;Первый;79,48;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1601798;4,31;без отличия;нет;;нет;да;нет;22.01.2019 9:17;Петренко Лина Владимировна;
28889;851ПВ;Тимофеевич Терентий Иванович;В приказ;Первый;81,4;Филфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;42.03.02;Журналистика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1705199;4,55;без отличия;нет;;нет;да;нет;22.01.2019 9:34;Петренко Лина Владимировна;
28890;852ПВ;Александров Степан Дмитриeвич;Отказ;Первый;34,17;Биофак;очная;Нормативный;2 года 00 мес.;2 (второй) курс;06.04.01;Биология;Магистратура;Переводы, восстановления;Диплом бакалавра;ВА;215004054;85,42;без отличия;нет;Согласно Порядка перевода,отчисления и восстановления пункт 1.2;нет;да;нет;22.01.2019 10:06;Петренко Лина Владимировна;
28891;853ПВ;Кондратов Кирилл Трофимович;В приказ;Первый;93,68;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1602683;4,96;без отличия;нет;;нет;да;нет;22.01.2019 10:21;Петренко Лина Владимировна;
28892;854ПВ;Владимиренко Фаина Кондратовна;В приказ;Первый;89,4;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;45.03.01;Филология (Профиль: Русский язык и литература);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1600757;4,8;без отличия;нет;;нет;да;нет;22.01.2019 10:39;Петренко Лина Владимировна;
28893;855ПВ;Иванова Александра Серафимовна;Отказ;Первый;36,56;Физтех;заочная;Нормативный;4 года 00 мес.;4 (четвертый) курс;09.03.01;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;116;4,57;без отличия;нет;Согласно Порядка перевода,отчисления и восстановления пункт 1.2;нет;да;нет;22.01.2019 11:10;Петренко Лина Владимировна;
28894;856ПВ;Степанович Тимофей Петрович;В приказ;Первый;82,04;Филфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;42.03.02;Журналистика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;46364919;4,63;без отличия;нет;;нет;да;нет;22.01.2019 11:30;Петренко Лина Владимировна;
28895;857ПВ;Андреенко Наталья Александровна;В приказ;Первый;82,56;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.04;Политология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1605270;4,32;без отличия;нет;;нет;да;нет;22.01.2019 11:45;Петренко Лина Владимировна;
28896;858ПВ;Александренко Ульяна Андреeвна;В приказ;Первый;69,32;Филфак;очная;Нормативный;4 года 00 мес.;4 (четвертый) курс;42.03.02;Журналистика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;46377270;68,3;без отличия;да;;нет;да;нет;22.01.2019 12:13;Петренко Лина Владимировна;
28897;859ПВ;Глебенко Яна Семеновна;В приказ;Первый;87,68;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;51.03.01;Культурология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1603000;4,96;без отличия;нет;;да;да;нет;22.01.2019 13:23;Петренко Лина Владимировна;
28898;860ПВ;Андреенко Кирилл Трофимович;В приказ;Первый;80,52;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1600389;4,44;без отличия;нет;;нет;да;нет;22.01.2019 13:40;Петренко Лина Владимировна;
28899;861ПВ;Иванович Семен Кондратович;В приказ;Первый;84,04;Юрфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1707002;4,88;без отличия;нет;;да;да;нет;22.01.2019 13:57;Петренко Лина Владимировна;
28900;862ПВ;Алексеенко Александр Тимофеeвич;В приказ;Первый;82,2;Истфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;41.03.04;Политология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1707249;4,65;без отличия;нет;;нет;да;нет;22.01.2019 14:22;Петренко Лина Владимировна;
28901;863ПВ;Игнатович Вера Дмитриeвна;В приказ;Первый;67,6;Физтех;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;20.03.01;Техносферная безопасность;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;5779;3,2;без отличия;да;;нет;да;нет;22.01.2019 15:07;Петренко Лина Владимировна;
28902;864ПВ;Кондратенко Кондрат Николаeвич;В приказ;Первый;81,12;Химфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;04.05.01;Фундаментальная и прикладная химия;Специалитет;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;7477;4,14;без отличия;да;;нет;да;нет;22.01.2019 15:23;Петренко Лина Владимировна;
28903;865ПВ;Трофимович Зинаида Терентиeвна;В приказ;Первый;102,2;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДАО;1600186;5;золотая медаль;нет;;да;да;нет;22.01.2019 15:43;Петренко Лина Владимировна;
28904;866ПВ;Петрова Элеонора Трофимовна;В приказ;Первый;86,36;Экономфак;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;46379060;4,42;без отличия;нет;;нет;да;нет;22.01.2019 15:59;Петренко Лина Владимировна;
28905;867ПВ;Серафимовская Вероника Петровна;В приказ;Первый;85,04;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.04;Политология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1600148;4,48;без отличия;нет;;нет;да;нет;22.01.2019 16:12;Петренко Лина Владимировна;
28906;868ПВ;Степанович Ольга Алексеeвна;В приказ;Первый;70,88;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.01;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1606068;4,36;без отличия;да;;нет;да;нет;23.01.2019 11:21;Петренко Лина Владимировна;
28907;869ПВ;Трофименко Людмила Дмитриeвна;В приказ;Первый;73,12;Физтех;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;20.03.01;Техносферная безопасность;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;5655;3,89;без отличия;да;;нет;да;нет;23.01.2019 11:59;Петренко Лина Владимировна;
28908;870ПВ;Александрович Людмила Владимировна;В приказ;Первый;78,76;ФМИТ;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;46.03.02;Документоведение и архивоведение;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;211-ССЗ;213;4,22;без отличия;нет;;нет;да;нет;23.01.2019 12:18;Петренко Лина Владимировна;
28909;871ПВ;Терентиевская Марина Алексеeвна;В приказ;Первый;77,52;Филфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1607622;4,44;без отличия;да;;нет;да;нет;23.01.2019 13:31;Петренко Лина Владимировна;
28910;872ПВ;Петрович Фаина Ивановна;В приказ;Первый;71,64;Юрфак;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1607601;4,08;без отличия;да;;нет;да;нет;23.01.2019 13:49;Петренко Лина Владимировна;
28911;873ПВ;Семенович Варвара Тимофеeвна;В приказ;Первый;69,48;ФМИТ;очная;Нормативный;4 года 00 мес.;2 (второй) курс;01.03.02;Прикладная математика и информатика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;46378176;3,81;без отличия;да;;нет;да;нет;23.01.2019 14:39;Петренко Лина Владимировна;
28912;874ПВ;Семенов Иван Петрович;В приказ;Первый;76;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1603620;4,25;без отличия;нет;;нет;да;нет;23.01.2019 15:04;Петренко Лина Владимировна;
40489;874ПВ;Семенов Иван Петрович;В приказ;Второй;73,6;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1603620;4,25;без отличия;нет;;нет;да;нет;22.07.2019 11:38;Супонева София Юрьевна;
40322;875ПВ;Тимофеевский Николай Николаeвич;В приказ;Второй;85,6;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1605080;5;без отличия;нет;;нет;да;нет;18.07.2019 11:24;Супонева София Юрьевна;
28913;875ПВ;Тимофеевский Николай Николаeвич;В приказ;Первый;82;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;37.03.01;Психология;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1605080;5;без отличия;нет;;нет;да;нет;23.01.2019 15:17;Петренко Лина Владимировна;
28914;876ПВ;Иннокентиевская Элеонора Николаeвна;В приказ;Первый;66;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;10.03.01;Информационная безопасность;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;235-СС3;68;3,75;без отличия;нет;;нет;да;нет;23.01.2019 15:42;Петренко Лина Владимировна;
28915;877ПВ;Николаев Иван Игнатович;В приказ;Первый;64,8;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;10.03.01;Информационная безопасность;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;235-ССЗ;109;3,6;без отличия;нет;;нет;да;нет;23.01.2019 15:53;Петренко Лина Владимировна;
28916;878ПВ;Иннокентиев Трофим Андреeвич;В приказ;Первый;77,12;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1603411;4,39;без отличия;нет;;нет;да;нет;23.01.2019 16:18;Петренко Лина Владимировна;
28917;879ПВ;Серафименко Галина Ивановна;В приказ;Первый;88,56;Учфин;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;38.03.01;Экономика (Профиль: Экономическая теория);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1603501;4,92;без отличия;нет;;нет;да;нет;23.01.2019 16:36;Петренко Лина Владимировна;
28918;880ПВ;Серафимовский Трофим Игнатович;В приказ;Первый;75,28;Филфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;37.05.02;Психология служебной деятельности;Специалитет;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1604136;4,16;без отличия;нет;;нет;да;нет;24.01.2019 9:35;Петренко Лина Владимировна;
28919;881ПВ;Тимофеева Лариса Владимировна;В приказ;Первый;87,36;ФМИТ;очная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.04;Программная инженерия;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1704548;4,92;без отличия;нет;;да;да;нет;24.01.2019 10:54;Петренко Лина Владимировна;
28920;882ПВ;Терентиевский Владимир Иванович;В приказ;Первый;86,08;ФМИТ;очная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.04;Программная инженерия;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1701678;4,76;без отличия;нет;;да;да;нет;24.01.2019 11:06;Петренко Лина Владимировна;
28921;883ПВ;Кириллова Александра Владимировна;В приказ;Первый;81,92;ФМИТ;очная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.04;Программная инженерия;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1701656;4,24;без отличия;нет;;да;да;нет;24.01.2019 11:16;Петренко Лина Владимировна;
28922;884ПВ;Николаенко Серафим Степанович;Отказ;Первый;78,2;УНИЭК;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.05;Бизнес-информатика;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;213-ССЗ;222;4,15;без отличия;нет;По собственному желанию;да;да;нет;24.01.2019 11:43;Петренко Лина Владимировна;
28923;885ПВ;Семеновский Дмитрий Борисович;В приказ;Первый;83,8;Филфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1606410;4,85;без отличия;нет;;нет;да;нет;24.01.2019 11:58;Петренко Лина Владимировна;
28924;886ПВ;Степаненко Наталья Николаeвна;В приказ;Первый;82,4;УНИЭК;очная;Нормативный;4 года 00 мес.;2 (второй) курс;38.03.05;Бизнес-информатика;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;213-ССЗ;287;4,3;без отличия;нет;;да;да;нет;24.01.2019 13:28;Петренко Лина Владимировна;
28925;887ПВ;Андреев Семен Дмитриeвич;В приказ;Первый;76;Физтех;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;09.03.01;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1613;5;без отличия;да;;нет;да;нет;24.01.2019 14:05;Петренко Лина Владимировна;
28926;888ПВ;Игнатович Дмитрий Николаeвич;В приказ;Первый;78,36;УНИЭК;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.05;Бизнес-информатика;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1607244;4,17;без отличия;да;;нет;да;нет;24.01.2019 16:26;Петренко Лина Владимировна;
28930;889ПВ;Семенович Андрей Андреeвич;В приказ;Первый;90,56;Экономфак;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1705400;4,57;без отличия;нет;;нет;да;нет;24.01.2019 16:42;Петренко Лина Владимировна;
28931;890ПВ;Серафимов Владимир Дмитриeвич;В приказ;Первый;76,36;Учфин;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.01;Экономика (Профиль: Финансы и кредит);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1707041;3,92;без отличия;да;;нет;да;нет;29.01.2019 14:43;Петренко Лина Владимировна;
28932;891ПВ;Глебенко Инна Серафимовна;В приказ;Первый;78,1;ИФКС;очная;Нормативный;4 года 00 мес.;3 (третий) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1703909;77,2;без отличия;да;;да;да;нет;03.06.2019 9:48;Агафонова Валерия Валериевна;
28933;892ПВ;Андреевич Фаина Алексеeвна;В приказ;Первый;90,2;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;46377463;95,4;без отличия;да;;да;да;нет;03.06.2019 9:48;Агафонова Валерия Валериевна;
28934;893ПВ;Степановский Игнат Александрович;В приказ;Первый;72,9;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;43553705;65,8;без отличия;да;;нет;да;нет;03.06.2019 9:49;Агафонова Валерия Валериевна;
28935;894ПВ;Александренко Терентий Борисович;В приказ;Первый;82;ИФКС;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ХА;47882263;80;без отличия;да;;нет;да;нет;03.06.2019 9:50;Агафонова Валерия Валериевна;
28936;895ПВ;Трофимовский Андрей Владимирович;В приказ;Первый;68,85;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;8751;145,7;без отличия;да;;нет;да;нет;03.06.2019 9:50;Агафонова Валерия Валериевна;
28937;896ПВ;Глебова Наталья Петровна;В приказ;Первый;75,5;ИФКС;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1703118;159;без отличия;да;;да;да;нет;03.06.2019 9:50;Агафонова Валерия Валериевна;
28938;897ПВ;Тимофеева Тамара Трофимовна;В приказ;Первый;67,4;ИФКС;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;6025;151,8;без отличия;да;;нет;да;нет;03.06.2019 9:50;Агафонова Валерия Валериевна;
28939;898ПВ;Иваненко Глеб Терентиeвич;В приказ;Первый;64,25;ИФКС;очная;Нормативный;4 года 00 мес.;4 (четвертый) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1602593;144,5;без отличия;да;;да;да;нет;03.06.2019 9:50;Агафонова Валерия Валериевна;
28940;899ПВ;Глебова Анастасия Тимофеeвна;В приказ;Первый;82;ИФКС;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;нк;26689904;80;без отличия;да;;нет;да;нет;03.06.2019 9:50;Агафонова Валерия Валериевна;
28941;900ПВ;Трофименко Светлана Дмитриeвна;В приказ;Первый;97,5;ИФКС;очная;Нормативный;4 года 00 мес.;2 (второй) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1805914;99;без отличия;нет;;да;да;нет;03.06.2019 9:50;Агафонова Валерия Валериевна;
